Brand,SKU10,DemandCustomer,Year,Quarter,Month_No,Week_No,Sales,W_Nielsen
ARW,62338-91101,ALL OTHERS - US,2015,1,1,1,205,0
ARW,62338-91101,ALL OTHERS - US,2015,1,1,2,2202,0
ARW,62338-91101,ALL OTHERS - US,2015,1,1,3,2527,0
ARW,62338-91101,ALL OTHERS - US,2015,1,1,4,680,0
ARW,62338-91101,ALL OTHERS - US,2015,1,2,5,1149,0
ARW,62338-91101,ALL OTHERS - US,2015,1,2,6,858,0
ARW,62338-91101,ALL OTHERS - US,2015,1,2,7,1174,0
ARW,62338-91101,ALL OTHERS - US,2015,1,2,8,4138,0
ARW,62338-91101,ALL OTHERS - US,2015,1,3,9,1595,0
ARW,62338-91101,ALL OTHERS - US,2015,1,3,10,1263,0
ARW,62338-91101,ALL OTHERS - US,2015,1,3,11,1254,0
ARW,62338-91101,ALL OTHERS - US,2015,1,3,12,1183,0
ARW,62338-91101,ALL OTHERS - US,2015,1,3,13,1014,0
ARW,62338-91101,ALL OTHERS - US,2015,2,4,14,1655,0
ARW,62338-91101,ALL OTHERS - US,2015,2,4,15,2409,0
ARW,62338-91101,ALL OTHERS - US,2015,2,4,16,1675,0
ARW,62338-91101,ALL OTHERS - US,2015,2,4,17,1623,0
ARW,62338-91101,ALL OTHERS - US,2015,2,5,18,1809,0
ARW,62338-91101,ALL OTHERS - US,2015,2,5,19,2555,0
ARW,62338-91101,ALL OTHERS - US,2015,2,5,20,1354,0
ARW,62338-91101,ALL OTHERS - US,2015,2,5,21,1411,0
ARW,62338-91101,ALL OTHERS - US,2015,2,6,22,1718,0
ARW,62338-91101,ALL OTHERS - US,2015,2,6,23,1119,0
ARW,62338-91101,ALL OTHERS - US,2015,2,6,24,945,0
ARW,62338-91101,ALL OTHERS - US,2015,2,6,25,547,0
ARW,62338-91101,ALL OTHERS - US,2015,2,6,26,1210,0
ARW,62338-91101,ALL OTHERS - US,2015,3,7,27,898,0
ARW,62338-91101,ALL OTHERS - US,2015,3,7,28,1932,0
ARW,62338-91101,ALL OTHERS - US,2015,3,7,29,2321,0
ARW,62338-91101,ALL OTHERS - US,2015,3,7,30,1000,0
ARW,62338-91101,ALL OTHERS - US,2015,3,8,31,1953,0
ARW,62338-91101,ALL OTHERS - US,2015,3,8,32,368,0
ARW,62338-91101,ALL OTHERS - US,2015,3,8,33,1160,0
ARW,62338-91101,ALL OTHERS - US,2015,3,8,34,1493,0
ARW,62338-91101,ALL OTHERS - US,2015,3,9,35,911,0
ARW,62338-91101,ALL OTHERS - US,2015,3,9,36,1246,0
ARW,62338-91101,ALL OTHERS - US,2015,3,9,37,1235,0
ARW,62338-91101,ALL OTHERS - US,2015,3,9,38,1878,0
ARW,62338-91101,ALL OTHERS - US,2015,3,9,39,1288,0
ARW,62338-91101,ALL OTHERS - US,2015,4,10,40,930,0
ARW,62338-91101,ALL OTHERS - US,2015,4,10,41,1209,0
ARW,62338-91101,ALL OTHERS - US,2015,4,10,42,1047,0
ARW,62338-91101,ALL OTHERS - US,2015,4,10,43,1412,0
ARW,62338-91101,ALL OTHERS - US,2015,4,11,44,1269,0
ARW,62338-91101,ALL OTHERS - US,2015,4,11,45,908,0
ARW,62338-91101,ALL OTHERS - US,2015,4,11,46,722,0
ARW,62338-91101,ALL OTHERS - US,2015,4,11,47,1064,0
ARW,62338-91101,ALL OTHERS - US,2015,4,12,48,866,0
ARW,62338-91101,ALL OTHERS - US,2015,4,12,49,707,0
ARW,62338-91101,ALL OTHERS - US,2015,4,12,50,815,0
ARW,62338-91101,ALL OTHERS - US,2015,4,12,51,641,0
ARW,62338-91101,ALL OTHERS - US,2015,4,12,52,1247,0
ARW,62338-91101,ALL OTHERS - US,2015,4,12,53,1180,0
ARW,62338-91101,ALL OTHERS - US,2016,1,1,1,542,0
ARW,62338-91101,ALL OTHERS - US,2016,1,1,2,1493,0
ARW,62338-91101,ALL OTHERS - US,2016,1,1,3,891,0
ARW,62338-91101,ALL OTHERS - US,2016,1,1,4,1342,0
ARW,62338-91101,ALL OTHERS - US,2016,1,2,5,578,0
ARW,62338-91101,ALL OTHERS - US,2016,1,2,6,1937,0
ARW,62338-91101,ALL OTHERS - US,2016,1,2,7,1286,0
ARW,62338-91101,ALL OTHERS - US,2016,1,2,8,935,0
ARW,62338-91101,ALL OTHERS - US,2016,1,3,9,1539,0
ARW,62338-91101,ALL OTHERS - US,2016,1,3,10,1770,0
ARW,62338-91101,ALL OTHERS - US,2016,1,3,11,2522,0
ARW,62338-91101,ALL OTHERS - US,2016,1,3,12,1894,0
ARW,62338-91101,ALL OTHERS - US,2016,1,3,13,1414,0
ARW,62338-91101,ALL OTHERS - US,2016,2,4,14,1369,0
ARW,62338-91101,ALL OTHERS - US,2016,2,4,15,2677,0
ARW,62338-91101,ALL OTHERS - US,2016,2,4,16,1037,0
ARW,62338-91101,ALL OTHERS - US,2016,2,4,17,1607,0
ARW,62338-91101,ALL OTHERS - US,2016,2,5,18,881,0
ARW,62338-91101,ALL OTHERS - US,2016,2,5,19,1146,0
ARW,62338-91101,ALL OTHERS - US,2016,2,5,20,1693,0
ARW,62338-91101,ALL OTHERS - US,2016,2,5,21,1579,0
ARW,62338-91101,ALL OTHERS - US,2016,2,6,22,700,0
ARW,62338-91101,ALL OTHERS - US,2016,2,6,23,938,0
ARW,62338-91101,ALL OTHERS - US,2016,2,6,24,1233,0
