"customerID","PaymentMethod","MonthlyCharges","TotalCharges","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","Churn"
"0002-ORFBO","Mailed check",65.6,"593.3","Female","0","Yes","Yes","9","Yes","No","DSL","No","Yes","No","Yes","Yes","No","One year","Yes","No"
"0003-MKNFE","Mailed check",59.9,"542.4","Male","0","No","No","9","Yes","Yes","DSL","No","No","No","No","No","Yes","Month-to-month","No","No"
"0004-TLHLJ","Electronic check",73.9,"280.85","Male","0","No","No","4","Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Yes"
"0011-IGKFF","Electronic check",98,"1237.85","Male","1","Yes","No","13","Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Yes"
"0013-EXCHZ","Mailed check",83.9,"267.4","Female","1","Yes","No","3","Yes","No","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","Yes","Yes"
"0013-MHZWF","Credit card (automatic)",69.4,"571.45","Female","0","No","Yes","9","Yes","No","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","No"
"0013-SMEOE","Bank transfer (automatic)",109.7,"7904.25","Female","1","Yes","No","71","Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","No"
"0014-BMAQU","Credit card (automatic)",84.65,"5377.8","Male","0","Yes","No","63","Yes","Yes","Fiber optic","Yes","No","No","Yes","No","No","Two year","Yes","No"
"0015-UOCOJ","Electronic check",48.2,"340.35","Female","1","No","No","7","Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","No"
"0016-QLJIS","Mailed check",90.45,"5957.9","Female","0","Yes","Yes","65","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","No"
"0017-DINOC","Credit card (automatic)",45.2,"2460.55","Male","0","No","No","54","No","No phone service","DSL","Yes","No","No","Yes","Yes","No","Two year","No","No"
"0017-IUDMW","Credit card (automatic)",116.8,"8456.75","Female","0","Yes","Yes","72","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","No"
"0019-EFAEP","Bank transfer (automatic)",101.3,"7261.25","Female","0","No","No","72","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","No","Two year","Yes","No"
"0019-GFNTW","Bank transfer (automatic)",45.05,"2560.1","Female","0","No","No","56","No","No phone service","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","No"
"0020-INWCK","Credit card (automatic)",95.75,"6849.4","Female","0","Yes","Yes","71","Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Two year","Yes","No"
"0020-JDNXP","Mailed check",61.25,"1993.2","Female","0","Yes","Yes","34","No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","No","No"
"0021-IKXGC","Electronic check",72.1,"72.1","Female","1","No","No","1","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","No"
"0022-TCJCI","Credit card (automatic)",62.7,"2791.5","Male","1","No","No","45","Yes","No","DSL","Yes","No","Yes","No","No","Yes","One year","No","Yes"
"0023-UYUPN","Electronic check",25.2,"1306.3","Female","1","Yes","No","50","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","No"
"0023-XUOPT","Electronic check",94.1,"1215.6","Female","0","Yes","No","13","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","No","Yes"
"0030-FNXPP","Mailed check",19.85,"57.2","Female","0","No","No","3","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","No"
"0031-PVLZI","Mailed check",20.35,"76.35","Female","0","Yes","Yes","4","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Yes"
"0032-PGELS","Bank transfer (automatic)",30.5,"30.5","Female","0","Yes","Yes","1","No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","No","Yes"
"0036-IHMOT","Bank transfer (automatic)",103.7,"5656.75","Female","0","Yes","Yes","55","Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","No"
"0040-HALCW","Credit card (automatic)",20.4,"1090.6","Male","0","Yes","Yes","54","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","No"
"0042-JVWOJ","Bank transfer (automatic)",19.6,"471.85","Male","0","No","No","26","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","No"
"0042-RLHYP","Bank transfer (automatic)",19.7,"1396.9","Female","0","Yes","Yes","69","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","No"
"0048-LUMLS","Credit card (automatic)",91.2,"3247.55","Male","0","Yes","Yes","37","Yes","No","Fiber optic","No","No","No","No","Yes","Yes","One year","No","No"
"0052-DCKON","Bank transfer (automatic)",115.8,"7942.15","Male","0","Yes","No","66","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","No"
"0052-YNYOT","Electronic check",20.55,"1343.4","Female","0","No","No","67","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","No"
"0057-QBUQH","Electronic check",25.1,"1070.15","Female","0","No","Yes","43","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","No"
"0058-EVZWM","Bank transfer (automatic)",89.8,"4959.6","Female","0","Yes","No","55","Yes","Yes","Fiber optic","Yes","No","No","No","Yes","No","Month-to-month","Yes","No"
"0060-FUALY","Electronic check",94.75,"5597.65","Female","0","Yes","No","59","Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","No"
"0064-SUDOG","Bank transfer (automatic)",20.3,"224.5","Female","0","Yes","Yes","12","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","No"
"0064-YIJGF","Bank transfer (automatic)",75.75,"1929","Male","0","Yes","Yes","27","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","No"
"0067-DKWBL","Electronic check",49.25,"91.1","Male","1","No","No","2","Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Yes"
"0071-NDAFP","Credit card (automatic)",25.5,"630.6","Male","0","Yes","Yes","25","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","No"
"0074-HDKDG","Bank transfer (automatic)",61.6,"1611","Male","0","Yes","Yes","25","Yes","No","DSL","Yes","Yes","Yes","No","No","No","One year","Yes","No"
"0076-LVEPS","Mailed check",45,"1242.45","Male","0","No","Yes","29","No","No phone service","DSL","Yes","Yes","Yes","Yes","No","No","Month-to-month","Yes","No"
"0078-XZMHT","Bank transfer (automatic)",85.15,"6316.2","Male","0","Yes","No","72","Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","No"
"0080-OROZO","Electronic check",99.25,"3532","Female","0","No","No","35","Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","Yes","No"
"0082-LDZUE","Mailed check",44.3,"44.3","Male","0","No","No","1","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","No"
"0082-OQIQY","Electronic check",94.2,"2607.6","Male","0","No","No","29","Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","No"
"0083-PIVIK","Electronic check",81.25,"5567.55","Male","0","No","No","64","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","One year","No","No"
"0089-IIQKO","Credit card (automatic)",99.95,"3767.4","Female","0","Yes","Yes","39","Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","No"
"0093-EXYQL","Electronic check",91.55,"3673.6","Female","1","No","No","40","Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","No"
"0093-XWZFY","Credit card (automatic)",104.5,"4036.85","Male","0","No","No","40","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Yes"
"0094-OIFMO","Electronic check",95,"1120.3","Female","1","No","No","11","Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Yes"
"0096-BXERS","Electronic check",50.35,"314.55","Female","0","Yes","No","6","Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","No","No"
"0096-FCPUF","Mailed check",64.5,"1888.45","Male","0","No","No","30","Yes","Yes","DSL","Yes","No","No","No","No","Yes","Month-to-month","Yes","No"
"0098-BOWSO","Electronic check",19.4,"529.8","Male","0","No","No","27","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","No"
"0100-DUVFC","Electronic check",104.8,"7308.95","Male","1","Yes","No","70","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","No"
"0103-CSITQ","Bank transfer (automatic)",109.4,"6252.7","Female","0","Yes","No","57","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","No"
"0104-PPXDV","Credit card (automatic)",50.3,"2878.55","Male","0","Yes","No","58","Yes","No","DSL","No","No","Yes","No","No","No","One year","No","No"
"0106-GHRQR","Bank transfer (automatic)",71.4,"1212.1","Male","0","No","No","16","Yes","Yes","DSL","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","No"
"0106-UGRDO","Electronic check",116,"8182.85","Female","0","Yes","No","69","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","No"
"0107-WESLM","Electronic check",19.85,"19.85","Male","0","No","No","1","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Yes"
"0107-YHINA","Electronic check",99.75,"99.75","Male","0","No","Yes","1","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Yes"
"0111-KLBQG","Mailed check",93.95,"2861.45","Male","1","Yes","Yes","32","Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","No"
"0112-QAWRZ","Bank transfer (automatic)",90.8,"1442.2","Male","0","Yes","Yes","16","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","No"
"0112-QWPNC","Electronic check",84.35,"4059.35","Male","0","Yes","No","49","Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","No","Yes"
"0114-IGABW","Bank transfer (automatic)",58.25,"4145.9","Female","0","Yes","No","71","No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","No"
"0114-PEGZZ","Electronic check",107.55,"3645.5","Female","0","No","No","33","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","No","No"
"0114-RSRRW","Bank transfer (automatic)",19.95,"187.75","Female","0","Yes","No","10","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","No"
"0115-TFERT","Electronic check",111.2,"2317.1","Male","0","Yes","No","21","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Yes"
"0118-JPNOY","Credit card (automatic)",85.8,"2193.65","Female","1","No","No","26","Yes","No","Fiber optic","Yes","No","No","No","Yes","No","Month-to-month","Yes","No"
"0121-SNYRK","Mailed check",35.4,"1748.9","Male","0","No","No","50","No","No phone service","DSL","Yes","No","No","Yes","No","No","One year","Yes","No"
"0123-CRBRT","Mailed check",88.1,"5526.75","Female","0","Yes","Yes","61","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","No"
"0125-LZQXK","Electronic check",101.35,"1553.95","Male","0","No","No","15","Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Yes"
"0128-MKWSG","Mailed check",45.8,"1147","Female","0","No","Yes","26","No","No phone service","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","No","No"
"0129-KPTWJ","Electronic check",94.65,"6747.35","Male","0","Yes","No","72","Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","No"
"0129-QMPDR","Bank transfer (automatic)",20.5,"865.05","Male","0","Yes","Yes","44","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","No"
"0130-SXOUN","Credit card (automatic)",89.4,"5976.9","Male","0","No","No","66","Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","No","No"
"0133-BMFZO","Electronic check",86.25,"181.65","Female","0","No","No","2","Yes","No","Fiber optic","Yes","Yes","No","Yes","No","No","Month-to-month","Yes","Yes"
"0134-XWXCE","Bank transfer (automatic)",74.85,"3268.05","Female","1","No","No","44","Yes","No","DSL","No","No","Yes","Yes","Yes","Yes","One year","No","No"
"0135-NMXAP","Bank transfer (automatic)",89.75,"1052.4","Female","0","No","No","12","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Yes"
"0136-IFMYD","Electronic check",109.95,"7634.25","Male","1","Yes","No","69","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","No"
"0137-OCGAB","Mailed check",80.2,"80.2","Female","0","No","No","1","Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Yes"
"0137-UDEUO","Mailed check",19.85,"63.75","Female","0","No","No","3","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Yes"
"0139-IVFJG","Electronic check",90.35,"190.5","Female","0","Yes","No","2","Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","No","No"
"0141-YEAYS","Bank transfer (automatic)",86.45,"2401.05","Female","1","No","No","27","Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","No"
"0148-DCDOS","Bank transfer (automatic)",94.7,"2362.1","Male","0","No","No","25","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Yes"
"0151-ONTOV","Mailed check",70.9,"70.9","Female","0","No","No","1","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Yes"
"0156-FVPTA","Electronic check",54.2,"1152.7","Male","0","Yes","No","22","Yes","No","DSL","Yes","No","No","Yes","No","No","Month-to-month","Yes","Yes"
"0164-APGRB","Electronic check",114.9,"8496.7","Female","0","No","No","72","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","No"
"0164-XAIRP","Bank transfer (automatic)",19.55,"470.2","Female","0","No","No","24","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","No"
"0174-QRVVY","Credit card (automatic)",25.35,"1847.55","Male","0","Yes","Yes","71","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","No"
"0177-PXBAT","Bank transfer (automatic)",109.9,"3694.7","Male","1","Yes","No","33","Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","No"
"0178-CIIKR","Mailed check",19.95,"58","Female","0","No","No","3","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","No"
"0178-SZBHO","Electronic check",87.2,"4017.45","Male","0","Yes","Yes","47","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","No","No"
"0181-RITDD","Mailed check",108.15,"6825.65","Male","0","Yes","Yes","62","Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","No"
"0186-CAERR","Bank transfer (automatic)",116.3,"8309.55","Male","0","No","No","71","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","Yes","No"
"0187-QSXOE","Electronic check",89,"605.45","Male","1","Yes","No","7","Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","No"
"0187-WZNAB","Mailed check",74.4,"1972.35","Female","0","Yes","Yes","27","Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","No"
"0188-GWFLE","Mailed check",20.05,"33.7","Male","0","No","No","2","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","No"
"0191-EQUUH","Bank transfer (automatic)",35.05,"844.45","Female","0","No","Yes","25","No","No phone service","DSL","Yes","No","No","Yes","No","No","Two year","No","No"
"0191-ZHSKZ","Electronic check",74.75,"2111.3","Male","1","No","No","30","Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","No"
"0193-ESZXP","Credit card (automatic)",105.5,"6205.5","Female","1","Yes","No","58","Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","One year","Yes","Yes"
"0195-IESCP","Electronic check",85.25,"855.3","Male","0","Yes","No","10","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Yes"
"0196-JTUQI","Credit card (automatic)",75.2,"633.85","Female","0","No","No","9","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","No"
"0196-VULGZ","Electronic check",84.35,"474.9","Female","1","Yes","No","6","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Yes"
"0201-MIBOL","Bank transfer (automatic)",102.4,"6471.85","Female","1","No","No","66","Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Two year","Yes","No"
"0201-OAMXR","Credit card (automatic)",115.55,"8127.6","Female","0","No","No","70","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Yes"
"0203-HHYIJ","Bank transfer (automatic)",25.3,"676.35","Male","0","No","No","25","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Yes"
"0206-OYVOC","Mailed check",19.25,"864.2","Female","0","Yes","Yes","46","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","No"
"0206-TBWLC","Mailed check",114.65,"6049.5","Female","0","Yes","No","54","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","Yes","No"
"0207-MDKNV","Electronic check",105.1,"1582.75","Female","0","No","No","15","Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","No","Yes"
"0208-BPQEJ","Bank transfer (automatic)",19.4,"198.1","Female","0","Yes","Yes","12","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","No"
"0212-ISBBF","Electronic check",50.35,"1098.85","Female","0","No","No","22","No","No phone service","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","No"
"0214-JHPFW","Bank transfer (automatic)",57.8,"4039.3","Female","0","Yes","No","70","No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","No"
"0215-BQKGS","Credit card (automatic)",84.3,"2438.6","Male","0","No","No","30","Yes","No","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","No"
"0218-QNVAS","Bank transfer (automatic)",100.55,"7113.75","Male","0","Yes","Yes","71","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","One year","No","No"
"0219-QAERP","Credit card (automatic)",19.8,"576.65","Male","0","Yes","No","30","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","No"
"0219-YTZUE","Bank transfer (automatic)",84.8,"371.9","Male","0","Yes","Yes","4","Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Yes"
"0220-EBGCE","Electronic check",85.85,"167.3","Male","0","No","No","2","Yes","No","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Yes"
"0221-NAUXK","Bank transfer (automatic)",19.95,"219.5","Male","0","No","Yes","10","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","No"
"0221-WMXNQ","Electronic check",75.35,"273.4","Male","1","No","No","4","Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","No"
"0222-CNVPT","Credit card (automatic)",48.8,"2555.05","Male","1","No","No","52","No","No phone service","DSL","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","No"
"0224-HJAPT","Electronic check",47.15,"223.15","Male","0","No","No","5","Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Yes"
"0224-NIJLP","Mailed check",20.15,"165.5","Male","0","Yes","Yes","8","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","No"
"0224-RLWWD","Electronic check",44.3,"89.3","Female","1","No","No","2","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","No"
"0225-ZORZP","Electronic check",84.3,"235.05","Male","0","No","No","3","Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","No","No"
