pre_date,Brand,SKU10,DemandCustomer,Year,Quarter,Month_No,Week_No,Sales,W_Nielsen
2015-01-01,0,2,0,2015,1,1,1,205.0,0.0
2015-01-08,0,2,0,2015,1,1,2,2202.0,0.0
2015-01-15,0,2,0,2015,1,1,3,2527.0,0.0
2015-01-22,0,2,0,2015,1,1,4,680.0,0.0
2015-01-29,0,2,0,2015,1,2,5,1149.0,0.0
2015-02-05,0,2,0,2015,1,2,6,858.0,0.0
2015-02-12,0,2,0,2015,1,2,7,1174.0,0.0
2015-02-19,0,2,0,2015,1,2,8,4138.0,0.0
2015-02-26,0,2,0,2015,1,3,9,1595.0,0.0
2015-03-05,0,2,0,2015,1,3,10,1263.0,0.0
2015-03-12,0,2,0,2015,1,3,11,1254.0,0.0
2015-03-19,0,2,0,2015,1,3,12,1183.0,0.0
2015-03-26,0,2,0,2015,1,3,13,1014.0,0.0
2015-04-02,0,2,0,2015,2,4,14,1655.0,0.0
2015-04-09,0,2,0,2015,2,4,15,2409.0,0.0
2015-04-16,0,2,0,2015,2,4,16,1675.0,0.0
2015-04-23,0,2,0,2015,2,4,17,1623.0,0.0
2015-04-30,0,2,0,2015,2,5,18,1809.0,0.0
2015-05-07,0,2,0,2015,2,5,19,2555.0,0.0
2015-05-14,0,2,0,2015,2,5,20,1354.0,0.0
2015-05-21,0,2,0,2015,2,5,21,1411.0,0.0
2015-05-28,0,2,0,2015,2,6,22,1718.0,0.0
2015-06-04,0,2,0,2015,2,6,23,1119.0,0.0
2015-06-11,0,2,0,2015,2,6,24,945.0,0.0
2015-06-18,0,2,0,2015,2,6,25,547.0,0.0
2015-06-25,0,2,0,2015,2,6,26,1210.0,0.0
2015-07-02,0,2,0,2015,3,7,27,898.0,0.0
2015-07-09,0,2,0,2015,3,7,28,1932.0,0.0
2015-07-16,0,2,0,2015,3,7,29,2321.0,0.0
2015-07-23,0,2,0,2015,3,7,30,1000.0,0.0
2015-07-30,0,2,0,2015,3,8,31,1953.0,0.0
2015-08-06,0,2,0,2015,3,8,32,368.0,0.0
2015-08-13,0,2,0,2015,3,8,33,1160.0,0.0
2015-08-20,0,2,0,2015,3,8,34,1493.0,0.0
2015-08-27,0,2,0,2015,3,9,35,911.0,0.0
2015-09-03,0,2,0,2015,3,9,36,1246.0,0.0
2015-09-10,0,2,0,2015,3,9,37,1235.0,0.0
2015-09-17,0,2,0,2015,3,9,38,1878.0,0.0
2015-09-24,0,2,0,2015,3,9,39,1288.0,0.0
2015-10-01,0,2,0,2015,4,10,40,930.0,0.0
2015-10-08,0,2,0,2015,4,10,41,1209.0,0.0
2015-10-15,0,2,0,2015,4,10,42,1047.0,0.0
2015-10-22,0,2,0,2015,4,10,43,1412.0,0.0
2015-10-29,0,2,0,2015,4,11,44,1269.0,0.0
2015-11-05,0,2,0,2015,4,11,45,908.0,0.0
2015-11-12,0,2,0,2015,4,11,46,722.0,0.0
2015-11-19,0,2,0,2015,4,11,47,1064.0,0.0
2015-11-26,0,2,0,2015,4,12,48,866.0,0.0
2015-12-03,0,2,0,2015,4,12,49,707.0,0.0
2015-12-10,0,2,0,2015,4,12,50,815.0,0.0
2015-12-17,0,2,0,2015,4,12,51,641.0,0.0
2015-12-24,0,2,0,2015,4,12,52,1247.0,0.0
2015-12-31,0,2,0,2015,4,12,53,1180.0,0.0
2016-01-07,0,2,0,2016,1,1,1,542.0,0.0
2016-01-14,0,2,0,2016,1,1,2,1493.0,0.0
2016-01-21,0,2,0,2016,1,1,3,891.0,0.0
2016-01-28,0,2,0,2016,1,1,4,1342.0,0.0
2016-02-04,0,2,0,2016,1,2,5,578.0,0.0
2016-02-11,0,2,0,2016,1,2,6,1937.0,0.0
2016-02-18,0,2,0,2016,1,2,7,1286.0,0.0
2016-02-25,0,2,0,2016,1,2,8,935.0,0.0
2016-03-03,0,2,0,2016,1,3,9,1539.0,0.0
2016-03-10,0,2,0,2016,1,3,10,1770.0,0.0
2016-03-17,0,2,0,2016,1,3,11,2522.0,0.0
2016-03-24,0,2,0,2016,1,3,12,1894.0,0.0
2016-03-31,0,2,0,2016,1,3,13,1414.0,0.0
2016-04-07,0,2,0,2016,2,4,14,1369.0,0.0
2016-04-14,0,2,0,2016,2,4,15,2677.0,0.0
2016-04-21,0,2,0,2016,2,4,16,1037.0,0.0
2016-04-28,0,2,0,2016,2,4,17,1607.0,0.0
2016-05-05,0,2,0,2016,2,5,18,881.0,0.0
2016-05-12,0,2,0,2016,2,5,19,1146.0,0.0
2016-05-19,0,2,0,2016,2,5,20,1693.0,0.0
2016-05-26,0,2,0,2016,2,5,21,1579.0,0.0
2016-06-02,0,2,0,2016,2,6,22,700.0,0.0
2016-06-09,0,2,0,2016,2,6,23,938.0,0.0
2016-06-16,0,2,0,2016,2,6,24,1233.0,0.0
2016-06-23,0,2,0,2016,2,6,25,1917.0,0.0
2016-06-30,0,2,0,2016,2,6,26,2283.0,0.0
2016-07-07,0,2,0,2016,3,7,27,535.0,0.0
2016-07-14,0,2,0,2016,3,7,28,1472.0,0.0
2016-07-21,0,2,0,2016,3,7,29,743.0,0.0
2016-07-28,0,2,0,2016,3,7,30,2909.0,0.0
2016-08-04,0,2,0,2016,3,8,31,752.0,0.0
2016-08-11,0,2,0,2016,3,8,32,1475.0,0.0
2016-08-18,0,2,0,2016,3,8,33,756.0,0.0
2016-08-25,0,2,0,2016,3,8,34,1069.0,0.0
2016-09-01,0,2,0,2016,3,9,35,1000.0,0.0
2016-09-08,0,2,0,2016,3,9,36,945.0,0.0
2016-09-15,0,2,0,2016,3,9,37,1317.0,0.0
2016-09-22,0,2,0,2016,3,9,38,1668.0,0.0
2016-09-29,0,2,0,2016,3,9,39,2613.0,0.0
2016-10-06,0,2,0,2016,4,10,40,1184.0,0.0
2016-10-13,0,2,0,2016,4,10,41,1082.0,0.0
2016-10-20,0,2,0,2016,4,10,42,1053.0,0.0
2016-10-27,0,2,0,2016,4,10,43,1015.0,0.0
2016-11-03,0,2,0,2016,4,11,44,1946.0,0.0
2016-11-10,0,2,0,2016,4,11,45,1439.0,0.0
2016-11-17,0,2,0,2016,4,11,46,1371.0,0.0
2016-11-24,0,2,0,2016,4,11,47,813.0,0.0
2016-12-01,0,2,0,2016,4,12,48,1301.0,0.0
2016-12-08,0,2,0,2016,4,12,49,937.0,0.0
2016-12-15,0,2,0,2016,4,12,50,1370.0,0.0
2016-12-22,0,2,0,2016,4,12,51,1937.0,0.0
2016-12-29,0,2,0,2016,4,12,52,2213.0,0.0
2017-01-05,0,2,0,2017,1,1,1,494.0,0.0
2017-01-12,0,2,0,2017,1,1,2,292.0,0.0
2017-01-19,0,2,0,2017,1,1,3,535.0,0.0
2017-01-26,0,2,0,2017,1,1,4,1586.0,0.0
2017-02-02,0,2,0,2017,1,2,5,2335.0,0.0
2017-02-09,0,2,0,2017,1,2,6,840.0,0.0
